Header,Estimated Weight (Da)
>NODE_26612_length_3635_cov_2.868778,1123191.0
>NODE_27155_length_3583_cov_3.630023,1108433.6
>NODE_27339_length_1073_cov_13.045175,332038.6
>NODE_27399_length_2532_cov_4.822030,778406.4
>NODE_28062_length_1658_cov_10.722258,512676.6
>NODE_29669_length_2750_cov_5.817427,855028.0
>NODE_3174_length_4857_cov_37.036990,1493141.4
>NODE_32175_length_1836_cov_2.009787,568866.2
>NODE_3225_length_4548_cov_26.020454,1408308.6
>NODE_32486_length_3164_cov_2.867863,974774.8
>NODE_32518_length_1273_cov_9.276831,390558.6
>NODE_33564_length_2579_cov_11.955645,796195.8
>NODE_33653_length_1512_cov_4.575372,469729.4
>NODE_33782_length_2760_cov_7.697858,854596.0
>NODE_3411_length_5324_cov_61.475598,1639614.8
>NODE_34427_length_2512_cov_5.910485,775129.4
>NODE_34446_length_2724_cov_8.899810,837404.8
>NODE_34575_length_2480_cov_6.781604,770601.0
>NODE_34921_length_1281_cov_7.247039,394984.2
>NODE_3558_length_5738_cov_18.505409,1767772.6
>NODE_35714_length_2656_cov_7.654673,817091.2
>NODE_36594_length_2610_cov_15.322581,807714.0
>NODE_3704_length_5610_cov_32.368173,1725906.0
>NODE_37239_length_2356_cov_10.010191,731096.2
>NODE_39002_length_1989_cov_2.320635,617329.8
>NODE_39750_length_2467_cov_7.779139,763972.4
>NODE_4050_length_5131_cov_16.375000,1591301.2
>NODE_40908_length_1096_cov_14.615848,336905.2
>NODE_41478_length_2658_cov_2.533802,818868.6
>NODE_4185_length_4695_cov_66.122063,1448489.0
>NODE_42352_length_2156_cov_7.516286,670582.2
>NODE_42856_length_2138_cov_8.485532,660440.6
>NODE_4328_length_4908_cov_30.321273,1517238.6
>NODE_43412_length_1526_cov_1.589348,470448.2
>NODE_43635_length_2565_cov_2.502839,795782.0
>NODE_43768_length_2153_cov_4.598832,663768.6
>NODE_44081_length_2547_cov_2.982435,787094.4
>NODE_44657_length_2468_cov_8.346560,767093.6
>NODE_4479_length_4498_cov_25.111389,1384540.6
>NODE_45057_length_1093_cov_8.299799,337440.6
>NODE_45615_length_1085_cov_5.799189,336887.0
>NODE_4632_length_5968_cov_5.775089,1854794.6
>NODE_46417_length_1073_cov_10.105749,331018.6
>NODE_4659_length_4838_cov_24.380882,1491894.6
>NODE_47182_length_2015_cov_3.469207,624341.0
>NODE_4862_length_4195_cov_21.962891,1296974.0
>NODE_48635_length_2145_cov_7.517595,664794.0
>NODE_48675_length_1188_cov_2.860422,366931.6
>NODE_48874_length_1041_cov_11.018047,321378.2
>NODE_50226_length_1024_cov_10.616216,316374.8
>NODE_50353_length_1957_cov_7.127557,606075.4
>NODE_50411_length_1022_cov_5.719393,315110.4
>NODE_51518_length_2062_cov_8.997962,635563.4
>NODE_51963_length_1805_cov_3.063306,557728.0
>NODE_53728_length_1086_cov_11.295846,335847.2
>NODE_55229_length_1805_cov_3.885111,557361.0
>NODE_55740_length_1953_cov_9.002697,604428.6
>NODE_55899_length_1349_cov_1.900800,416958.8
>NODE_56409_length_1221_cov_3.342246,379232.2
>NODE_56688_length_1271_cov_1.538396,391177.2
>NODE_57099_length_1265_cov_1.363636,389369.0
>NODE_58673_length_2032_cov_6.630109,626954.4
>NODE_59864_length_1860_cov_7.834753,570435.0
>NODE_6104_length_4628_cov_30.960035,1433624.6
>NODE_6212_length_4834_cov_8.265892,1494925.8
>NODE_62550_length_1651_cov_7.710696,512154.2
>NODE_6344_length_3938_cov_19.412607,1216233.6
>NODE_64713_length_1620_cov_4.295858,502830.0
>NODE_64925_length_1611_cov_4.718254,499673.2
>NODE_66312_length_1588_cov_4.903291,489155.6
>NODE_66367_length_1587_cov_6.676075,492847.4
>NODE_66414_length_1210_cov_1.040504,373808.0
>NODE_66440_length_1101_cov_2.645709,341356.2
>NODE_66649_length_1590_cov_2.725017,493888.0
>NODE_66754_length_1140_cov_1.394813,352977.0
>NODE_6695_length_3779_cov_96.384511,1165421.8
>NODE_6739_length_3760_cov_12.342256,1154155.0
>NODE_67840_length_1878_cov_2.401349,577403.6
>NODE_67914_length_1562_cov_6.128503,485688.4
>NODE_6842_length_3720_cov_13.059100,1141030.0
>NODE_68563_length_1367_cov_2.888801,425083.4
>NODE_70385_length_1666_cov_11.225909,512318.2
>NODE_71306_length_1511_cov_6.019830,469414.2
>NODE_7135_length_7293_cov_13.093272,2262368.6
>NODE_72161_length_1640_cov_7.218689,506622.0
>NODE_72431_length_1144_cov_1.123445,352789.8
>NODE_72937_length_1442_cov_5.367089,447997.4
>NODE_73204_length_1522_cov_4.575545,469559.4
>NODE_75735_length_1454_cov_4.299631,446961.8
>NODE_75941_length_1447_cov_3.463650,447507.4
>NODE_7864_length_2745_cov_109.586168,848280.0
>NODE_79441_length_1362_cov_3.219319,422238.4
>NODE_79525_length_1401_cov_10.613671,431049.2
>NODE_79896_length_1397_cov_5.143297,433869.4
>NODE_80975_length_1389_cov_5.400775,430627.8
>NODE_81131_length_1516_cov_5.529287,468556.2
>NODE_83817_length_1582_cov_6.861092,491353.4
>NODE_84857_length_1345_cov_6.357945,416933.0
>NODE_85383_length_1297_cov_3.565943,402257.4
>NODE_85565_length_1028_cov_2.166846,319494.6
>NODE_85580_length_1028_cov_1.920344,316628.6
>NODE_86001_length_1334_cov_3.557895,414211.8
>NODE_87227_length_1443_cov_6.127232,446761.6
>NODE_87324_length_1442_cov_4.221147,445914.4
>NODE_90228_length_1503_cov_3.624644,468035.6
>NODE_9088_length_4677_cov_4.245522,1449340.4
>NODE_91750_length_1485_cov_5.761183,461831.0
>NODE_91989_length_1392_cov_9.104408,432596.4
>NODE_9324_length_3021_cov_13.965092,932370.2
>NODE_94091_length_1115_cov_3.398622,346339.0
>NODE_94146_length_1150_cov_6.067555,354749.0
>NODE_95414_length_1240_cov_4.327783,383875.0
>NODE_96830_length_1232_cov_3.812004,379041.4
>NODE_9712_length_5855_cov_18.495136,1805164.0
>NODE_98279_length_1415_cov_4.756079,440739.0
>NODE_9859_length_5906_cov_4.810229,1815038.2
>NODE_99401_length_1323_cov_4.068627,407926.6
>NODE_99476_length_1322_cov_6.769419,407832.4
>NODE_99656_length_1075_cov_3.011270,329271.0
>NODE_9967_length_5990_cov_49.996265,1853948.0
>NODE_99877_length_1167_cov_3.077715,362196.4
>NODE_2334_length_6181_cov_11.367642,1902286.2
>NODE_6_length_121281_cov_168.096665__full_1,36628553.2
>NODE_95_length_42159_cov_70.260842__full_1,10363527.2
>NODE_2_length_199986_cov_102.532136__full,61973625.2
>NODE_12_length_97136_cov_53.423921__full,30041865.2
>NODE_19_length_79038_cov_85.620352__full,24359348.6
>NODE_21_length_77995_cov_70.244942__full,24126519.0
>NODE_29_length_66528_cov_77.461425__full,20614534.6
>NODE_34_length_63571_cov_98.927433__full,19666928.2
>NODE_38_length_58139_cov_75.019125__full,17976903.8
>NODE_39_length_57931_cov_65.922085__full,17942013.2
>NODE_50_length_55711_cov_72.358700__full,17247196.2
>NODE_60_length_51924_cov_52.439402__full,16080321.8
>NODE_61_length_51656_cov_98.863355__full,15953131.2
>NODE_62_length_51641_cov_73.671433__full,15964526.2
>NODE_64_length_51279_cov_69.759809__full,15843008.8
>NODE_69_length_49797_cov_75.016459__full,15381766.4
>NODE_70_length_49574_cov_46.959616__full,15304842.8
>NODE_78_length_47781_cov_49.813242__full,14718092.2
>NODE_89_length_43717_cov_51.133385__full,13528743.4
>NODE_91_length_43487_cov_48.136005__full,13465109.4
>NODE_96_length_41591_cov_135.443001__full,12884989.2
>NODE_111_length_38212_cov_69.900165__full,11738247.4
>NODE_115_length_37299_cov_41.177581__full,11545437.8
>NODE_118_length_36985_cov_60.762972__full,11416369.0
>NODE_123_length_36114_cov_59.899820__full,11153082.8
>NODE_124_length_35977_cov_52.662830__full,11097362.4
>NODE_132_length_34458_cov_93.360575__full,10653955.6
>NODE_134_length_33355_cov_56.191755__full,10275532.0
>NODE_135_length_33252_cov_43.910687__full,10277812.4
>NODE_136_length_33176_cov_52.261239__full,10239760.2
>NODE_141_length_32564_cov_48.668258__full,10062505.8
>NODE_144_length_31859_cov_48.756927__full,9850951.8
>NODE_151_length_31000_cov_35.635772__full,9560792.0
>NODE_154_length_30541_cov_44.779548__full,9449594.2
>NODE_155_length_30280_cov_66.805142__full,9346928.0
>NODE_157_length_30222_cov_65.639943__full,9356188.4
>NODE_161_length_29821_cov_55.090135__full,9233755.2
>NODE_165_length_29106_cov_86.133140__full,9042163.2
>NODE_170_length_28064_cov_39.625031__full,8692181.8
>NODE_174_length_27804_cov_79.409926__full,8520588.8
>NODE_176_length_27775_cov_109.787758__full,8590081.0
>NODE_177_length_27738_cov_319.613734__full,8536014.6
>NODE_184_length_27060_cov_32.708802__full,8353729.0
>NODE_185_length_27059_cov_39.220697__full,8364701.8
>NODE_191_length_26749_cov_65.791557__full,8269420.8
>NODE_193_length_26363_cov_96.363197__full,8133462.6
>NODE_209_length_25605_cov_67.207324__full,7911892.0
>NODE_211_length_25387_cov_46.730979__full,7833931.4
>NODE_212_length_25335_cov_96.231851__full,7878060.0
>NODE_216_length_25197_cov_95.543549__full,7780806.4
>NODE_219_length_24563_cov_122.295209__full,7582271.6
>NODE_221_length_24520_cov_30.003644__full,7572673.0
>NODE_222_length_24508_cov_52.059732__full,7568555.6
>NODE_228_length_23769_cov_181.862273__full,7316293.8
>NODE_229_length_23768_cov_53.137648__full,7361399.6
>NODE_232_length_23612_cov_55.262791__full,7310810.4
>NODE_233_length_23503_cov_64.863186__full,7263136.6
>NODE_235_length_23409_cov_35.110425__full,7239483.8
>NODE_240_length_23296_cov_33.517869__full,7190837.2
>NODE_243_length_23154_cov_71.475342__full,7172881.8
>NODE_245_length_23097_cov_45.979520__full,7129717.4
>NODE_257_length_22562_cov_41.488047__full,6988810.4
>NODE_258_length_22493_cov_45.215415__full,6965702.6
>NODE_259_length_22489_cov_38.213845__full,6932483.8
>NODE_262_length_22258_cov_88.950043__full,6879396.6
>NODE_263_length_22225_cov_92.318133__full,6877962.0
>NODE_264_length_22221_cov_46.933369__full,6872334.2
>NODE_265_length_22172_cov_68.576813__full,6874653.4
>NODE_268_length_22112_cov_159.901831__full,6829041.4
>NODE_274_length_21736_cov_68.293063__full,6730007.2
>NODE_275_length_21715_cov_58.235242__full,6695992.0
>NODE_277_length_21643_cov_111.880059__full,6686977.6
>NODE_285_length_21073_cov_86.245494__full,6520358.6
>NODE_291_length_20650_cov_61.921074__full,6367795.0
>NODE_292_length_20534_cov_72.539564__full,6331154.8
>NODE_296_length_20311_cov_113.814764__full,6267089.2
>NODE_303_length_19996_cov_95.663919__full,6181427.2
>NODE_316_length_19168_cov_58.553464__full,5932057.6
>NODE_317_length_19164_cov_64.226226__full,5904202.8
>NODE_319_length_19084_cov_76.022544__full,5895665.8
>NODE_322_length_18930_cov_48.885827__full,5820783.0
>NODE_327_length_18692_cov_50.756414__full,5757147.4
>NODE_328_length_18683_cov_80.042510__full,5775522.6
>NODE_329_length_18624_cov_48.897922__full,5757383.8
>NODE_330_length_18583_cov_39.786410__full,5748427.6
>NODE_333_length_18543_cov_77.222837__full,5730450.6
>NODE_335_length_18488_cov_54.627223__full,5736458.6
>NODE_337_length_18345_cov_60.507618__full,5652728.0
>NODE_341_length_18139_cov_42.655266__full,5607301.8
>NODE_346_length_17954_cov_44.296220__full,5555399.8
>NODE_350_length_17655_cov_44.908464__full,5455834.0
>NODE_352_length_17644_cov_118.953092__full,5448607.8
>NODE_359_length_17397_cov_73.579142__full,5392444.4
>NODE_360_length_17385_cov_47.929538__full,5366533.0
>NODE_361_length_17377_cov_34.642956__full,5370005.4
>NODE_363_length_17338_cov_35.200998__full,5359178.6
>NODE_379_length_16977_cov_37.073468__full,5242653.4
>NODE_380_length_16972_cov_40.033900__full,5242403.4
>NODE_385_length_16893_cov_94.758366__full,5198568.6
>NODE_386_length_16892_cov_68.409695__full,5214075.4
>NODE_387_length_16883_cov_53.886022__full,5205812.6
>NODE_391_length_16778_cov_36.927394__full,5178002.6
>NODE_394_length_16681_cov_55.137679__full,5140318.2
>NODE_395_length_16656_cov_80.586157__full,5149552.2
>NODE_396_length_16638_cov_131.942500__full,5156271.6
>NODE_399_length_16606_cov_76.490035__full,5137521.2
>NODE_401_length_16593_cov_42.442646__full,5141203.6
>NODE_402_length_16572_cov_33.460268__full,5120668.4
>NODE_404_length_16498_cov_46.093298__full,5105946.6
>NODE_407_length_16431_cov_34.775961__full,5070814.2
>NODE_408_length_16428_cov_34.530957__full,5076010.6
>NODE_411_length_16370_cov_53.069018__full,5039563.0
>NODE_413_length_16307_cov_91.789672__full,5039101.4
>NODE_414_length_16298_cov_61.811532__full,5026368.6
>NODE_415_length_16250_cov_69.051947__full,5029631.0
>NODE_421_length_16154_cov_54.249642__full,4999291.8
>NODE_422_length_16124_cov_61.466583__full,5005089.8
>NODE_434_length_15816_cov_69.887129__full,4894982.2
>NODE_438_length_15742_cov_44.738605__full,4860008.4
>NODE_440_length_15727_cov_109.906770__full,4867353.4
>NODE_441_length_15717_cov_64.218594__full,4847701.4
>NODE_454_length_15523_cov_39.930433__full,4804954.6
>NODE_462_length_15363_cov_50.731460__full,4735181.6
>NODE_463_length_15348_cov_435.349859__full,4756707.6
>NODE_468_length_15269_cov_95.382465__full,4709551.8
>NODE_476_length_15096_cov_68.269054__full,4662101.2
>NODE_477_length_15084_cov_55.011345__full,4672424.8
>NODE_480_length_14982_cov_109.737822__full,4620138.4
>NODE_483_length_14855_cov_49.528531__full,4599218.0
>NODE_486_length_14782_cov_37.949465__full,4581846.4
>NODE_488_length_14674_cov_38.904974__full,4521614.8
>NODE_489_length_14663_cov_106.734894__full,4550702.6
>NODE_495_length_14549_cov_58.035225__full,4503677.8
>NODE_499_length_14503_cov_33.305540__full,4492182.6
>NODE_500_length_14497_cov_81.708501__full,4468249.4
>NODE_501_length_14470_cov_31.335815__full,4471841.0
>NODE_510_length_14322_cov_58.006117__full,4430706.4
>NODE_517_length_14152_cov_33.887355__full,4385989.4
>NODE_519_length_14139_cov_38.999573__full,4376226.8
>NODE_521_length_14053_cov_38.698079__full,4349784.6
>NODE_523_length_14012_cov_27.119169__full,4328397.4
>NODE_524_length_13989_cov_480.876458__full,4331597.8
>NODE_526_length_13933_cov_32.830562__full,4309536.6
>NODE_529_length_13920_cov_45.248897__full,4312281.0
>NODE_541_length_13717_cov_66.813629__full,4243368.4
>NODE_544_length_13646_cov_32.809626__full,4216040.2
>NODE_552_length_13572_cov_33.390262__full,4176331.4
>NODE_559_length_13510_cov_2153.208709__full,4182701.0
>NODE_563_length_13455_cov_55.508760__full,4158318.0
>NODE_564_length_13454_cov_38.230251__full,4154064.8
>NODE_567_length_13430_cov_78.244543__full,4152755.0
>NODE_572_length_13338_cov_92.094040__full,4115181.6
>NODE_578_length_13265_cov_65.368145__full,4091204.0
>NODE_579_length_13263_cov_36.580371__full,4101187.6
>NODE_580_length_13249_cov_98.533612__full,4079919.8
>NODE_584_length_13227_cov_144.416971__full,4085723.4
>NODE_602_length_12900_cov_216.184282__full,3992876.0
>NODE_613_length_12690_cov_26.529743__full,3927705.0
>NODE_615_length_12651_cov_66.782425__full,3911761.2
>NODE_620_length_12621_cov_301.688548__full,3907192.2
>NODE_624_length_12571_cov_99.883018__full,3902191.2
>NODE_632_length_12475_cov_44.270120__full,3860311.0
>NODE_635_length_12438_cov_62.653619__full,3835912.6
>NODE_638_length_12363_cov_31.193330__full,3817365.6
>NODE_644_length_12263_cov_40.544804__full,3785133.6
>NODE_645_length_12255_cov_39.272705__full,3796753.0
>NODE_649_length_12141_cov_104.211427__full,3740841.2
>NODE_655_length_12078_cov_38.436430__full,3727288.6
>NODE_656_length_12069_cov_29.251880__full,3725804.8
>NODE_658_length_12063_cov_56.435724__full,3719901.6
>NODE_665_length_12004_cov_58.290718__full,3716980.8
>NODE_668_length_11983_cov_96.522551__full,3698635.6
>NODE_671_length_11960_cov_32.751117__full,3693136.0
>NODE_677_length_11873_cov_46.719891__full,3678822.6
>NODE_682_length_11804_cov_34.004699__full,3641160.8
>NODE_690_length_11663_cov_82.329903__full,3596777.6
>NODE_696_length_11599_cov_64.666957__full,3593916.8
>NODE_701_length_11578_cov_31.046346__full,3576620.6
>NODE_708_length_11490_cov_50.889474__full,3554031.0
>NODE_710_length_11469_cov_98.817150__full,3537857.8
>NODE_711_length_11453_cov_66.839704__full,3537356.6
>NODE_714_length_11414_cov_114.093504__full,3521434.8
>NODE_721_length_11279_cov_39.263059__full,3490757.8
>NODE_722_length_11272_cov_63.032758__full,3484725.4
>NODE_723_length_11271_cov_84.161475__full,3485678.2
>NODE_724_length_11269_cov_39.170904__full,3485373.8
>NODE_725_length_11261_cov_36.393120__full,3485564.2
>NODE_729_length_11204_cov_35.710221__full,3453181.8
>NODE_730_length_11167_cov_40.587640__full,3451279.4
>NODE_734_length_11108_cov_37.989917__full,3423578.6
>NODE_735_length_11094_cov_32.905775__full,3423166.8
>NODE_736_length_11084_cov_64.693309__full,3418166.8
>NODE_741_length_11032_cov_35.010702__full,3411117.4
>NODE_745_length_10964_cov_52.390060__full,3385576.8
>NODE_746_length_10960_cov_37.834730__full,3400008.0
>NODE_759_length_10849_cov_82.826512__full,3356043.8
>NODE_763_length_10805_cov_28.978610__full,3359609.0
>NODE_765_length_10764_cov_51.991186__full,3321322.8
>NODE_769_length_10731_cov_46.992570__full,3311567.2
>NODE_770_length_10729_cov_190.833866__full,3337412.8
>NODE_773_length_10690_cov_42.550373__full,3311511.0
>NODE_775_length_10680_cov_87.902561__full,3329783.0
>NODE_789_length_10552_cov_59.523964__full,3242927.4
>NODE_790_length_10539_cov_34.548563__full,3253287.8
>NODE_795_length_10488_cov_41.895755__full,3239483.6
>NODE_800_length_10414_cov_45.973728__full,3190836.8
>NODE_804_length_10385_cov_25.543457__full,3212294.0
>NODE_815_length_10301_cov_37.381298__full,3173621.2
>NODE_817_length_10285_cov_48.508737__full,3163965.0
>NODE_819_length_10282_cov_56.989689__full,3182290.4
>NODE_829_length_10239_cov_37.297140__full,3165086.8
>NODE_830_length_10237_cov_31.045177__full,3173872.4
>NODE_835_length_10214_cov_29.912210__full,3161298.8
>NODE_836_length_10211_cov_33.812203__full,3156726.2
>NODE_846_length_10122_cov_322.641724__full,3115319.4
>NODE_847_length_10112_cov_51.385299__full,3119691.4
>NODE_849_length_10112_cov_29.296215__full,3111317.4
>NODE_860_length_10032_cov_31.059096__full,3097150.4
>NODE_863_length_10011_cov_35.888923__full,3098751.2
>NODE_865_length_10002_cov_61.457336__full,3088201.4
>NODE_1_length_204965_cov_63.461887__full,63413467.2
>NODE_2_length_105552_cov_301.982637__full,32608206.4
>NODE_3_length_75857_cov_155.181143__full,23452614.4
>NODE_8_length_57237_cov_183.563163__full,17685205.4
>NODE_18_length_40367_cov_207.688338__full,12484716.4
>NODE_22_length_32799_cov_182.574954__full,10138163.8
>NODE_25_length_29327_cov_432.615506__full,9070249.4
>NODE_27_length_29295_cov_148.809426__full,9093332.0
>NODE_45_length_20812_cov_241.607155__full,6432652.4
>NODE_62_length_17683_cov_175.963319__full,5471367.6
>NODE_63_length_17517_cov_131.633884__full,5407490.4
>NODE_68_length_16826_cov_801.879835__full,5181963.2
>NODE_70_length_16434_cov_230.932782__full,5083922.8
>NODE_79_length_15309_cov_113.406706__full,4737863.8
>NODE_83_length_14964_cov_114.217154__full,4630672.8
>NODE_88_length_14732_cov_214.853687__full,4558507.4
>NODE_89_length_14610_cov_289.312453__full,4498267.0
>NODE_94_length_14070_cov_149.041658__full,4351040.0
>NODE_97_length_13981_cov_126.458147__full,4332252.2
>NODE_142_length_11328_cov_195.719654__full,3499171.6
>NODE_166_length_10325_cov_194.074223__full,3197682.0
>NODE_449_length_16300_cov_50.711067__full_1,3996897.0
>NODE_1_length_149865_cov_52.452219__full,46400184.0
>NODE_7_length_105658_cov_41.858743__full,32611816.6
>NODE_10_length_97872_cov_45.820318__full,30134933.4
>NODE_11_length_96148_cov_42.639288__full,29680231.6
>NODE_12_length_94360_cov_99.859592__full,29127317.0
>NODE_14_length_87439_cov_61.203160__full,27027159.8
>NODE_21_length_78717_cov_88.631458__full,24284261.4
>NODE_23_length_73004_cov_40.107757__full,22600984.8
>NODE_24_length_72664_cov_44.336967__full,22415732.8
>NODE_27_length_69907_cov_38.062887__full,21604189.4
>NODE_32_length_68061_cov_35.105839__full,21112167.2
>NODE_33_length_67656_cov_36.735734__full,20922348.2
>NODE_35_length_66125_cov_29.630373__full,20426994.0
>NODE_37_length_65019_cov_66.797936__full,20080069.8
>NODE_40_length_63168_cov_39.731992__full,19455947.6
>NODE_47_length_58191_cov_62.983956__full,18062910.2
>NODE_54_length_57151_cov_54.619417__full,17674782.2
>NODE_57_length_56676_cov_38.252965__full,17514747.2
>NODE_72_length_49687_cov_89.492539__full,15372510.4
>NODE_79_length_49131_cov_66.863864__full,15247215.2
>NODE_80_length_48848_cov_36.158342__full,15093021.6
>NODE_84_length_48170_cov_51.128373__full,14879665.0
>NODE_86_length_47793_cov_46.178345__full,14771398.6
>NODE_87_length_47650_cov_39.960400__full,14753919.0
>NODE_88_length_47519_cov_36.716090__full,14714652.8
>NODE_90_length_47095_cov_124.296408__full,14585417.0
>NODE_94_length_46319_cov_67.570121__full,14328808.8
>NODE_97_length_45110_cov_40.552598__full,13940486.0
>NODE_101_length_44592_cov_34.404356__full,13774488.4
>NODE_106_length_43826_cov_50.101585__full,13567877.2
>NODE_107_length_43801_cov_140.892934__full,13560281.2
>NODE_110_length_43411_cov_49.953708__full,13537413.2
>NODE_111_length_42799_cov_33.006815__full,13235575.8
>NODE_113_length_42586_cov_55.544661__full,13173208.2
>NODE_116_length_42306_cov_76.610302__full,13075088.2
>NODE_118_length_42039_cov_31.947425__full,12970604.8
>NODE_119_length_42024_cov_65.744162__full,13008658.8
>NODE_124_length_41309_cov_31.796481__full,12783004.8
>NODE_129_length_40428_cov_62.695405__full,12489224.6
>NODE_143_length_37668_cov_82.172350__full,11643137.6
>NODE_144_length_37624_cov_36.235230__full,11609568.8
>NODE_145_length_37325_cov_42.809864__full,11590739.0
>NODE_146_length_37291_cov_75.121989__full,11543801.2
>NODE_149_length_36533_cov_67.895345__full,11278668.6
>NODE_152_length_36295_cov_76.367527__full,11206691.0
>NODE_154_length_36171_cov_37.370481__full,11164059.2
>NODE_155_length_36150_cov_50.976506__full,11174139.0
